date,dividend
2017-11-09,0.413056
2020-04-08,0.485365
2020-05-11,0.425933
2020-06-08,0.425933
2020-07-08,0.43
2020-08-10,0.461655
2020-09-09,0.462567
2020-10-08,0.447564
2020-11-10,0.470949
2022-04-08,0.5
2022-05-09,0.5
2022-06-08,0.41
2022-07-08,0.41
2022-08-08,0.47
2022-09-09,0.47
2022-10-10,0.47
2022-11-09,0.47
2022-12-08,0.5
2023-01-09,0.47
2023-02-08,0.47
2023-03-08,0.46
2023-04-11,0.46
2023-05-09,0.45
2023-06-09,0.45
2023-07-10,0.45
2023-08-08,0.45
2023-09-11,0.41
2023-10-09,0.41
2023-11-09,0.41
2024-01-09,0.41
2024-02-08,0.41
2024-03-08,0.41
2024-04-08,0.5
2024-05-09,0.5
2024-06-10,0.5
2024-07-08,0.5
2024-08-08,0.5
2024-09-09,0.5
2024-10-08,0.5
2024-11-08,0.5
2024-12-09,0.5
2025-01-09,0.5
2025-02-10,0.48
2025-03-12,0.45
2025-04-08,0.45
2025-05-09,0.45
2025-06-09,0.41
2025-07-08,0.41
2025-08-08,0.41
2025-09-08,0.41
2025-10-08,0.41
2025-11-10,0.41
2025-12-08,0.41
2026-01-09,0.41
2026-02-09,0.41
2026-03-09,0.41
