date,dividend
2017-10-17,0.330817
2017-11-17,0.316121
2022-04-18,0.712247
2022-05-16,0.712247
2022-06-17,0.712247
2022-07-18,0.81117
2022-08-16,0.732031
2022-09-16,0.732031
2022-10-17,0.732031
2022-11-16,0.732031
2022-12-16,0.732031
2023-01-16,0.732031
2023-02-16,0.732031
2023-03-16,0.732031
2023-04-17,0.732031
2023-05-16,0.732031
2023-06-16,0.732031
2023-07-17,0.751816
2023-08-16,0.758154
2023-09-18,0.758154
2023-10-16,0.758154
2023-11-16,0.758154
2023-12-18,0.758154
2024-01-16,0.808032
2024-02-16,0.78
2024-03-18,0.76
2024-04-16,0.76
2024-05-16,0.76
2024-06-17,0.76
2024-07-16,0.76
2024-08-16,0.76
2024-09-16,0.78
2024-10-16,0.78
2024-11-18,0.78
2024-12-16,0.78
2025-01-16,0.868191
2025-02-17,0.78
2025-03-17,0.78
2025-04-16,0.78
2025-05-16,0.78
2025-06-16,0.78
2025-07-16,0.7801
2025-08-18,0.78
2025-09-16,0.79
2025-10-16,0.79
2025-11-17,0.79
2025-12-16,0.79
2026-01-16,0.79
2026-02-18,0.8
2026-03-16,0.8
