date,dividend
2015-09-02,1.2
2015-10-01,1.2
2015-11-03,1.2
2015-12-01,1.2
2016-01-04,1.2
2016-02-01,2.0
2016-03-01,1.3
2016-04-01,1.2
2016-05-02,1.3
2016-06-01,1.4
2016-07-01,1.3
2016-08-01,1.3
2016-09-01,1.3
2016-10-03,1.25
2016-11-01,0.81
2016-12-01,0.9
2017-01-02,0.85
2017-02-01,1.0
2017-03-01,1.05
2017-04-03,1.1
2017-05-02,1.0
2017-06-01,0.7
2017-07-03,0.8
2017-08-01,0.85
2017-09-01,0.72
2017-10-02,0.72
2017-11-01,0.75
2017-12-01,0.85
2018-01-02,0.72
2018-02-01,0.72
2018-03-01,0.7
2018-04-02,0.75
2018-05-02,0.8
2018-06-01,0.7
2018-07-02,0.8
2018-08-01,0.85
2018-09-03,0.8
2018-10-01,0.78
2018-11-01,0.8
2018-12-03,0.8
2019-01-02,1.15
2019-02-01,0.65
2019-03-01,0.65
2019-04-01,0.65
2019-05-02,0.67
2019-06-03,0.75
2019-07-01,0.8
2019-08-01,0.75
2019-09-02,0.75
2019-10-01,0.7
2019-11-01,0.65
2019-12-02,0.65
2020-01-02,0.63
2020-02-03,0.65
2020-03-16,0.65
2020-04-16,0.65
2020-05-18,0.65
2020-06-16,0.65
2020-07-15,0.67
2020-08-13,0.72
2020-09-14,0.75
2020-10-14,0.72
2020-11-11,0.9
2020-12-11,1.05
2021-01-14,1.0
2021-02-11,1.05
2021-03-11,1.05
2021-04-14,1.01
2021-05-13,1.05
2021-06-14,1.0
2021-07-14,1.0
2021-08-12,1.01
2021-09-14,0.999
2021-10-14,1.0
2021-11-12,1.01
2021-12-13,1.0
2022-01-13,1.1
2022-02-11,1.1
2022-03-14,1.1
2022-04-13,1.1
2022-05-12,1.08
2022-06-13,1.12
2022-07-13,1.1
2022-08-11,1.1
2022-09-14,1.1
2022-10-14,1.05
2022-11-14,0.85
2022-12-13,0.37
2023-01-12,0.58
2023-02-13,0.75
2023-03-13,0.76
2023-04-14,0.71
2023-05-12,0.81
2023-06-14,0.85
2023-07-13,0.88
2023-07-14,0.88
2023-08-11,0.89
2023-09-14,0.79
2023-10-13,0.054
2023-11-14,0.061
2023-12-13,0.061
2024-01-12,0.065
2024-02-15,0.07
2024-03-13,0.076
2024-04-11,0.079
2024-05-14,0.08
2024-06-13,0.078
2024-07-11,0.077
2024-08-13,0.081
2024-09-12,0.081
2024-10-11,0.072
2024-11-13,0.062
2024-12-12,0.075
2025-01-14,0.075
2025-02-13,0.075
2025-03-17,0.08
2025-04-11,0.082
2025-05-14,0.085
2025-06-12,0.087
2025-07-11,0.088
2025-08-13,0.086
2025-09-11,0.085
2025-10-13,0.09
2025-11-13,0.09
2025-12-11,0.09
2026-01-14,0.09
2026-02-12,0.09
2026-03-12,0.09
