date,dividend
2022-04-08,1.4
2022-05-09,1.75
2022-06-08,1.77
2022-07-08,1.5
2022-08-08,1.25
2022-09-09,1.1
2022-10-10,1.1
2022-11-09,1.1
2022-12-08,1.1
2023-01-09,1.1
2023-02-08,1.0
2023-03-09,0.7
2023-04-11,0.5
2023-05-09,0.5
2023-06-09,0.5
2023-07-10,0.5
2023-08-10,0.5
2023-09-11,0.1705
2023-10-09,0.27
2023-11-09,0.34
2023-12-08,0.34
2024-01-09,0.35
2024-02-14,0.34
2024-03-08,0.388
2024-04-08,0.32
2024-05-09,0.38
2024-06-10,0.32
2024-07-08,0.53
2024-08-08,0.36
2024-09-09,0.39
2024-10-08,0.39
2024-11-08,0.37
2025-01-09,0.69
2025-02-10,0.32
2025-03-12,0.32
2025-04-08,0.3
2025-05-09,0.32
2025-06-09,0.28
2025-07-08,0.3759
2025-08-08,0.3
2025-09-08,0.3
2025-10-08,0.29
2025-11-10,0.29
2025-12-08,0.29
2026-01-09,0.4
2026-02-09,0.27
2026-03-09,0.26
