date,dividend
2017-11-01,0.09994
2017-12-01,0.102939
2022-04-01,0.114931
2022-05-02,0.119928
2022-06-01,0.124925
2022-08-01,0.129922
2022-09-01,0.129922
2022-10-03,0.134919
2022-11-01,0.134919
2022-12-01,0.139916
2023-01-02,0.139916
2023-02-01,0.139916
2023-03-01,0.139916
2023-04-03,0.139916
2023-05-02,0.144913
2023-06-01,0.144913
2023-07-03,0.144913
2023-08-01,0.154907
2023-09-01,0.2
2023-10-02,0.2
2023-11-01,0.2
2023-12-01,0.2
2024-01-02,0.2
2024-02-01,0.175
2024-03-01,0.175
2024-04-01,0.175
2024-05-02,0.175
2024-06-03,0.175
2024-07-01,0.175
2024-08-01,0.16
2024-09-02,0.16
2024-10-01,0.16
2024-11-01,0.16
2024-12-02,0.16
2025-01-02,0.16
2025-02-03,0.16
2025-03-05,0.16
2025-04-01,0.16
2025-05-02,0.16
2025-06-02,0.16
2025-07-01,0.16
2025-08-01,0.15
2025-09-01,0.15
2025-10-01,0.15
2025-11-03,0.15
2025-12-01,0.15
2026-01-02,0.15
2026-02-02,0.16
2026-03-02,0.17
