date,dividend
2017-09-01,0.21
2017-10-02,0.65
2017-11-01,0.56
2017-12-01,0.58
2022-04-01,0.48
2022-05-02,0.49
2022-06-01,0.49
2022-07-01,0.49
2022-08-01,0.49
2022-09-01,0.49
2022-10-03,0.49
2022-11-01,0.49
2022-12-01,0.49
2023-01-02,0.49
2023-02-01,0.49
2023-03-01,0.46
2023-04-03,0.46
2023-05-02,0.46
2023-06-01,0.46
2023-07-03,0.46
2023-08-01,0.46
2023-09-01,0.46
2023-10-02,0.46
2023-11-01,0.46
2023-12-01,0.46
2024-01-02,0.46
2024-02-01,0.46
2024-03-01,0.46
2024-04-01,0.48
2024-05-02,0.48
2024-06-03,0.48
2024-07-01,0.48
2024-08-01,0.48
2024-09-02,0.48
2024-10-01,0.48
2024-11-01,0.48
2024-12-02,0.48
2025-01-02,0.48
2025-03-05,0.48
2025-04-01,0.48
2025-05-02,0.48
2025-06-02,0.48
2025-07-01,0.48
2025-08-01,0.48
2025-09-01,0.48
2025-10-01,0.48
2025-11-03,0.48
2025-12-01,0.48
2026-01-02,0.48
2026-02-02,0.48
2026-03-02,0.48
