date,dividend
2017-11-01,0.666088
2017-12-01,0.626322
2022-04-01,0.994161
2022-05-02,0.964337
2022-06-01,1.073694
2022-07-01,1.043869
2022-08-01,1.033928
2022-09-01,1.29241
2022-10-03,1.192994
2022-11-01,1.093578
2022-12-01,1.093578
2023-01-02,1.192994
2023-02-01,1.192994
2023-03-01,0.994161
2023-04-03,1.212877
2023-05-02,0.994161
2023-06-01,1.23276
2023-07-03,1.143286
2023-08-01,1.143286
2023-09-01,1.192994
2023-10-02,1.093578
2023-11-01,1.103519
2023-12-01,1.004103
2024-01-02,1.004103
2024-02-01,1.063753
2024-03-01,0.944453
2024-04-01,0.944453
2024-05-02,0.994161
2024-06-03,0.995812
2024-07-01,0.995812
2024-08-01,0.946021
2024-09-02,0.946021
2024-10-01,0.946021
2024-11-01,1.01702
2024-12-02,0.947225
2025-01-02,0.997079
2025-02-03,1.066874
2025-03-05,1.066874
2025-04-01,1.036962
2025-05-02,1.156611
2025-06-02,1.196495
2025-07-01,1.196495
2025-08-01,1.346056
2025-09-01,1.346056
2025-10-01,1.35
2025-11-03,1.33
2025-12-01,1.11
2026-01-02,1.3
2026-02-02,1.2
2026-03-02,1.0
