date,dividend
2017-11-01,0.917056
2017-12-01,0.917056
2022-04-01,0.807408
2022-05-02,0.837312
2022-06-01,0.837312
2022-07-01,0.837312
2022-08-01,0.907088
2022-09-01,0.907088
2022-10-03,0.907088
2022-11-01,0.907088
2022-12-01,0.907088
2023-01-02,0.996801
2023-02-01,0.907088
2023-03-01,0.946961
2023-04-03,0.946961
2023-05-02,0.946961
2023-06-01,0.946961
2023-07-03,1.505169
2023-08-01,0.946961
2023-09-01,0.946961
2023-10-02,0.996801
2023-11-01,0.996801
2023-12-01,0.996801
2024-01-02,0.996801
2024-02-01,0.996801
2024-03-01,0.996801
2024-04-01,1.0
2024-05-02,1.0
2024-06-03,1.0
2024-07-01,1.0
2024-08-01,1.0
2024-09-02,1.0
2024-10-01,1.0
2024-11-01,1.0
2024-12-02,1.0
2025-01-02,1.0
2025-02-03,1.0
2025-03-05,1.0
2025-04-01,1.0
2025-05-02,1.0
2025-06-02,1.0
2025-07-01,1.0
2025-08-01,1.0
2025-09-01,1.0
2025-10-01,1.0
2025-11-03,1.0
2025-12-01,1.0
2026-01-02,1.25
2026-02-02,0.88
2026-03-02,1.1
