date,dividend
2022-04-13,0.997338
2022-05-12,0.997338
2022-06-13,1.097072
2022-07-13,1.097072
2022-08-11,1.097072
2022-09-14,1.097072
2022-10-14,1.097072
2022-11-14,1.1
2022-12-13,1.1
2023-01-12,1.15
2023-02-13,0.95
2023-03-13,0.95
2023-04-14,0.95
2023-05-12,0.95
2023-06-14,0.95
2023-07-13,0.95
2023-08-11,0.9
2023-09-14,0.9
2023-10-13,0.9
2023-11-14,0.9
2023-12-13,0.9
2024-01-12,0.9
2024-02-15,0.8
2024-03-13,0.8
2024-04-11,0.8
2024-05-14,0.8
2024-06-13,0.8
2024-07-11,0.8
2024-08-13,0.8
2024-09-12,0.8
2024-10-11,0.8
2024-11-13,0.8
2024-12-12,0.8
2025-01-14,0.8
2025-02-13,0.9
2025-03-17,0.9
2025-04-11,0.9
2025-05-14,0.9
2025-06-12,0.9
2025-07-11,0.9
2025-08-13,1.0
2025-09-11,1.0
2025-10-13,1.0
2025-11-13,1.0
2025-12-11,1.0
2026-01-14,1.0
2026-02-12,1.0
2026-03-12,1.0
