date,dividend
2017-11-01,1.165496
2017-12-01,1.165496
2021-11-01,1.235227
2021-12-01,1.235227
2022-01-03,1.245188
2022-02-01,1.175458
2022-03-02,1.165496
2022-04-01,1.165496
2022-05-02,1.105727
2022-06-01,1.095766
2022-07-01,1.095766
2022-08-01,1.095766
2022-10-03,1.085804
2022-11-01,1.105727
2022-12-01,1.105727
2023-01-02,1.195381
2023-02-01,1.095766
2023-03-01,1.095766
2023-04-03,1.106563
2023-05-02,1.096594
2023-06-01,1.106563
2023-07-03,1.106563
2023-08-01,1.066686
2023-09-01,1.066686
2023-10-02,1.076655
2023-11-01,1.066686
2023-12-01,1.076655
2024-01-02,1.076655
2024-02-01,1.196284
2024-03-01,1.206253
2024-04-01,1.206253
2024-05-02,1.206253
2024-06-03,1.196284
2024-07-01,1.196284
2024-08-01,1.176346
2024-09-02,1.176346
2024-10-01,1.186315
2024-11-01,1.166377
2024-12-02,1.166377
2025-01-02,1.176346
2025-02-03,1.116532
2025-03-05,1.106563
2025-04-01,1.11
2025-05-02,1.1
2025-06-02,1.1
2025-07-01,1.11
2025-08-01,1.06
2025-09-01,1.06
2025-10-01,1.07
2025-11-03,1.07
2025-12-01,1.07
2026-01-02,1.07
2026-02-02,1.05
2026-03-02,1.05
