date,dividend
2020-10-01,0.45
2020-11-03,0.48
2020-12-01,0.47
2021-01-04,0.47
2021-02-01,0.491036
2021-03-01,0.5
2021-04-01,0.5
2021-05-03,0.5
2021-06-01,0.54
2021-07-01,0.56
2021-08-02,0.59
2021-09-01,0.56
2021-10-01,0.56
2021-11-01,0.56
2021-12-01,0.54
2021-12-03,0.02
2022-01-03,0.56
2022-02-01,0.56
2022-03-02,0.56
2022-04-01,0.56
2022-05-02,0.56
2022-06-01,0.56
2022-07-01,0.56
2022-08-01,0.56
2022-09-01,0.56
2022-10-03,0.57
2022-11-01,0.57
2022-12-01,0.57
2023-01-02,0.57
2023-02-01,0.61
2023-03-01,0.61
2023-04-03,0.61
2023-05-02,0.61
2023-06-01,0.61
2023-07-03,0.61
2023-08-01,0.72
2023-09-01,0.67
2023-11-01,0.7
2023-12-01,0.7
2024-01-02,0.7
2024-02-01,0.7
2024-03-01,0.65
2024-04-01,0.65
2024-05-02,0.65
2024-06-03,0.65
2024-07-01,0.65
2024-08-01,0.65
2024-09-02,0.65
2024-10-01,0.55
2024-11-01,0.55
2024-12-02,0.55
2025-01-02,0.55
2025-02-03,0.55
2025-03-05,0.5
2025-04-01,0.5
2025-05-02,0.5
2025-06-02,0.5
2025-07-01,0.5
2025-08-01,0.5
2025-09-01,0.45
2025-10-01,0.45
2025-11-03,0.45
2025-12-01,0.45
2026-02-02,0.45
2026-03-02,0.45
