date,dividend
2017-10-11,0.020839
2017-11-13,0.032496
2022-04-12,0.06
2022-05-11,0.06
2022-06-10,0.06
2022-07-12,0.071004
2022-08-10,0.06
2022-09-13,0.06
2022-10-13,0.063
2022-12-12,0.063
2023-01-11,0.063
2023-02-10,0.063
2023-03-10,0.063
2023-04-13,0.063
2023-05-11,0.063
2023-06-13,0.063
2023-07-12,0.063
2023-08-10,0.063
2023-09-13,0.055
2023-10-11,0.055
2023-11-13,0.055
2023-12-12,0.055
2024-01-11,0.055
2024-02-14,0.055
2024-03-12,0.055
2024-04-10,0.055
2024-05-13,0.055
2024-06-12,0.055
2024-07-10,0.0682
2024-08-12,0.055
2024-09-11,0.055
2024-10-10,0.055
2024-11-12,0.09
2024-12-11,0.1
2025-01-13,0.111
2025-02-12,0.06
2025-03-14,0.06
2025-04-10,0.06
2025-05-13,0.06
2025-06-11,0.06
2025-07-10,0.061
2025-08-12,0.06
2025-09-10,0.06
2025-10-10,0.12
2025-11-25,0.330561
