date,dividend
2022-04-08,0.5
2022-05-09,0.45
2022-06-08,0.45
2022-07-08,0.45
2022-08-08,0.45
2022-09-09,0.45
2022-10-10,0.45
2022-11-09,0.28
2022-12-08,0.27
2023-01-09,0.27
2023-02-08,0.27
2023-03-08,0.27
2023-04-11,0.27
2023-05-09,0.27
2023-06-09,0.27
2023-07-10,0.27
2023-08-08,0.27
2023-09-11,0.25
2023-10-09,0.25
2023-11-09,0.28
2023-12-08,0.28
2024-01-09,0.28
2024-02-08,0.33
2024-03-08,0.35
2024-04-08,0.35
2024-05-09,0.66
2024-06-10,0.66
2024-07-08,0.67
2024-08-08,0.55
2024-09-09,0.54
2024-10-08,0.52
2024-11-08,0.54
2024-12-09,0.54
2025-01-09,0.54
2025-02-10,0.41
2025-03-12,0.41
2025-04-08,0.4
2025-05-09,0.4
2025-06-09,0.4
2025-07-08,0.4
2025-08-08,0.4
2025-09-08,0.4
2025-10-08,0.4
2025-11-10,0.4
2025-12-08,0.4
2026-01-09,0.4
2026-02-09,0.4
2026-03-09,0.4
