date,dividend
2022-04-12,1.195247
2022-05-11,1.195247
2022-06-10,1.2
2022-07-12,1.266
2022-08-08,1.1
2022-10-13,0.7
2022-11-11,0.7
2022-12-12,0.7
2023-01-11,0.904016
2023-02-08,0.95
2023-03-10,0.95
2023-04-13,1.0
2023-05-11,1.0
2023-06-13,1.0
2023-07-12,0.8
2023-08-10,0.7
2023-09-13,0.65
2023-10-11,0.65
2023-11-13,0.65
2023-12-12,0.65
2024-01-11,0.68
2024-02-08,0.8
2024-03-12,0.84
2024-04-10,0.85
2024-05-13,0.85
2024-06-12,0.85
2024-07-10,0.961
2024-08-12,0.85
2024-09-11,0.85
2024-10-10,0.8
2024-11-12,0.8
2024-12-11,0.8
2025-01-13,0.82
2025-02-10,0.9
2025-03-14,0.95
2025-04-10,0.95
2025-05-13,1.0
2025-06-11,0.9
2025-07-10,1.0
2025-08-12,0.95
2025-09-10,0.85
2025-10-10,0.8
2025-11-12,0.7
2025-12-10,0.8
2026-01-13,0.8
2026-02-11,0.8
2026-03-11,0.7
