date,dividend
2022-04-07,0.6
2022-05-06,0.6
2022-06-08,0.72
2022-07-08,0.72
2022-08-08,0.72
2022-09-08,0.72
2022-10-06,0.72
2022-11-07,0.76
2022-12-08,0.76
2023-01-06,0.73
2023-02-08,0.73
2023-03-08,0.74
2023-04-05,0.74
2023-05-08,0.74
2023-06-07,0.74
2023-07-07,0.75
2023-08-08,0.76
2023-09-08,0.77
2023-10-05,0.78
2023-11-08,0.79
2023-12-08,0.8
2024-01-09,0.93
2024-02-07,0.93
2024-03-08,0.93
2024-04-08,0.93
2024-05-08,0.93
2024-06-07,0.93
2024-07-08,0.99
2024-08-08,0.91
2024-09-06,0.91
2024-10-08,1.0
2024-11-07,1.05
2024-12-06,1.11
2025-01-08,0.85
2025-02-07,0.85
2025-03-07,0.85
2025-04-08,0.88
2025-05-08,0.88
2025-06-06,0.44
2025-07-01,0.45
2025-08-01,0.92
2025-09-01,0.92
2025-10-01,0.94
2025-11-03,0.94
2025-12-01,0.94
2026-01-02,0.95
2026-02-02,1.07
2026-03-02,1.07
