date,dividend
2022-04-08,0.968116
2022-05-09,1.065267
2022-06-08,1.219909
2022-07-08,0.8154
2022-08-08,0.723579
2022-09-09,0.567235
2022-11-09,0.31361
2022-12-08,0.521147
2023-01-09,0.655014
2023-02-08,0.701953
2023-03-08,0.645229
2023-05-09,0.713936
2023-06-09,0.868862
2023-07-10,0.64374
2023-08-08,0.50569
2023-09-11,0.423299
2023-10-09,0.531286
2023-11-09,0.553267
2023-12-08,0.549863
2024-02-08,0.574325
2024-03-08,0.623958
2024-04-08,0.666501
2024-05-09,0.914666
2024-06-10,0.538873
2024-07-08,0.574325
2024-08-08,0.602687
2024-09-09,0.531783
2024-10-08,0.505406
2024-11-08,0.766192
2024-12-09,0.681674
2025-01-09,0.734427
2025-02-10,0.728258
2025-03-12,0.671393
2025-04-08,0.815683
2025-05-09,0.964866
2025-06-09,0.747544
2025-07-08,0.719041
2025-08-08,0.6743
2025-09-08,0.554117
2025-10-08,0.526252
2025-11-10,0.8037
2025-12-08,0.8194
2026-01-09,0.81
2026-02-09,0.8276
2026-03-09,0.7253
