date,dividend
2021-01-18,0.008893
2021-03-15,0.5
2021-05-17,1.0
2021-06-16,0.9
2021-07-16,1.038758
2021-08-16,0.8
2021-09-16,0.6
2021-10-18,0.75
2021-11-17,1.0
2021-12-15,1.1
2022-01-17,1.323805
2022-02-15,1.3
2022-03-16,1.3
2022-04-18,1.2
2022-05-16,1.8
2022-06-15,1.8
2022-07-15,1.649029
2022-08-15,1.5
2022-09-16,1.66
2022-10-18,1.45
2022-11-17,1.4
2022-12-15,1.5
2023-01-16,1.4
2023-02-15,1.2
2023-03-15,1.2
2023-04-18,1.11
2023-05-16,1.3
2023-06-16,1.25
2023-07-17,1.2
2023-08-15,1.16
2023-09-18,1.16
2023-10-17,1.3
2023-11-17,1.2
2023-12-15,1.2
2024-01-16,1.12
2024-02-19,1.15
2024-03-15,1.16
2024-04-15,1.11
2024-05-16,1.05
2024-06-17,1.0
2024-07-15,1.0
2024-08-15,0.95
2024-09-16,0.92
2024-10-15,1.05
2024-11-18,1.07
2024-12-16,1.13
2025-01-16,1.774053
2025-02-17,1.2
2025-03-19,1.3
2025-04-15,1.15
2025-05-16,1.05
2025-06-16,1.15
2025-07-15,1.15
2025-08-15,1.15
2025-09-15,1.15
2025-10-15,1.1
2025-11-17,1.1
2025-12-15,1.1
2026-01-16,1.1
2026-02-18,1.1
2026-03-16,1.05
