date,dividend
2020-11-24,0.65
2020-12-22,0.91
2021-02-01,0.8
2021-03-01,0.85
2021-04-01,0.8
2021-05-03,0.7
2021-06-01,0.5
2021-07-01,0.77
2021-08-02,0.9
2021-09-01,0.9
2021-10-01,0.95
2021-11-01,0.95
2021-12-01,1.25
2022-01-03,1.25
2022-02-01,1.25
2022-03-02,1.25
2022-04-01,1.25
2022-05-02,1.25
2022-06-01,1.25
2022-07-01,1.25
2022-08-01,1.25
2022-09-01,1.25
2022-10-03,1.25
2022-11-01,1.25
2022-12-01,1.25
2023-01-02,0.86
2023-02-01,0.85
2023-03-01,0.85
2023-04-03,0.85
2023-05-02,0.85
2023-06-01,0.85
2023-07-03,0.85
2023-08-01,0.85
2023-09-01,0.85
2023-11-01,1.4
2023-12-01,1.4
2024-01-02,1.1
2024-02-01,0.85
2024-03-01,0.85
2024-04-01,0.9
2024-05-02,0.9
2024-06-03,0.9
2024-07-01,0.9
2024-08-01,0.9
2024-09-02,0.9
2024-10-01,0.9
2024-11-01,0.9
2024-12-02,1.15
2025-01-02,1.1
2025-02-03,1.05
2025-03-05,1.05
2025-04-01,1.05
2025-05-02,1.05
2025-06-02,1.05
2025-07-01,1.05
2025-08-01,1.0
2025-09-01,1.0
2025-10-01,1.0
2025-11-03,1.0
2025-12-01,1.0
2026-02-02,1.0
2026-03-02,1.0
