date,dividend
2019-10-01,0.9
2019-11-01,0.93
2019-12-02,0.99
2020-01-02,1.35
2020-02-03,0.57
2020-03-02,0.7
2020-04-01,0.82
2020-05-04,0.8
2020-06-01,1.25
2020-07-01,1.23
2020-08-03,1.14
2020-09-01,1.09
2020-10-01,1.0
2020-11-03,1.1
2020-12-01,1.12
2021-01-04,1.36
2021-02-01,1.2
2021-03-01,1.15
2021-04-01,1.3
2021-05-03,1.26
2021-06-01,1.16
2021-07-01,1.11
2021-08-02,1.08
2021-09-01,1.1
2021-10-01,1.11
2021-11-01,1.2
2021-12-01,1.22
2022-01-03,1.23
2022-02-01,1.16
2022-03-02,1.22
2022-04-01,1.27
2022-05-02,1.44
2022-06-01,1.53
2022-07-01,1.57
2022-08-01,1.58
2022-09-01,1.59
2022-10-03,1.59
2022-11-01,1.55
2022-12-01,1.5
2023-01-02,1.3
2023-02-01,1.3
2023-03-01,1.31
2023-04-03,1.34
2023-05-02,1.35
2023-06-01,1.36
2023-07-03,1.38
2023-08-01,1.4
2023-09-01,1.42
2023-11-01,1.45
2023-12-01,1.43
2024-01-02,1.32
2024-02-01,1.32
2024-03-01,1.33
2024-04-01,1.33
2024-05-02,1.34
2024-06-03,1.35
2024-07-01,1.33
2024-08-01,1.22
2024-09-02,1.12
2024-10-01,1.14
2024-11-01,1.15
2024-12-02,1.15
2025-01-02,1.1
2025-02-03,1.0
2025-03-05,1.0
2025-04-01,1.0
2025-05-02,1.0
2025-06-02,1.0
2025-07-01,1.0
2025-08-01,1.0
2025-09-01,1.0
2025-10-01,1.0
2025-11-03,1.0
2025-12-01,1.0
2026-02-02,0.71
2026-03-02,0.72
