date,dividend
2022-04-13,0.11916
2022-05-12,0.11916
2022-06-13,0.12909
2022-07-13,0.118167
2022-08-11,0.12909
2022-09-09,0.12909
2022-10-14,0.12909
2022-11-14,0.12909
2022-12-13,0.12909
2023-01-12,0.10923
2023-02-13,0.12909
2023-03-13,0.11916
2023-04-14,0.11916
2023-05-12,0.11916
2023-06-14,0.11916
2023-07-13,0.12909
2023-09-14,0.12909
2023-10-13,0.11916
2023-11-14,0.11916
2023-12-13,0.10923
2024-01-12,0.10923
2024-02-15,0.10923
2024-03-13,0.10923
2024-04-11,0.0993
2024-05-14,0.109618
2024-06-13,0.109618
2024-07-11,0.099653
2024-08-13,0.1
2024-09-12,0.1
2024-10-11,0.1
2024-11-13,0.11
2024-12-12,0.11
2025-01-14,0.109584
2025-02-13,0.11
2025-03-17,0.11
2025-04-11,0.12
2025-05-14,0.12
2025-06-12,0.12
2025-07-11,0.12
2025-08-13,0.14
2025-09-11,0.13
2025-10-13,0.13
2025-11-13,0.13
2025-12-11,0.13
2026-01-14,0.13
2026-02-12,0.13
2026-03-12,0.12
