date,dividend
2022-03-21,0.631316
2022-04-18,0.651045
2022-05-19,0.670773
2022-06-20,0.670773
2022-07-19,0.680638
2022-08-19,0.690502
2022-09-19,0.722496
2022-10-19,0.742291
2022-11-21,0.742291
2022-12-19,0.762085
2023-01-19,0.890749
2023-02-16,0.762085
2023-03-20,0.771982
2023-04-18,0.791777
2023-05-19,0.801674
2023-06-19,0.803825
2023-07-19,0.826867
2023-08-21,0.83683
2023-09-19,0.846792
2023-10-19,0.846792
2023-11-20,0.846792
2023-12-18,0.896603
2024-01-19,0.919777
2024-02-19,0.899782
2024-03-19,0.899782
2024-04-19,0.909842
2024-05-20,0.91984
2024-06-19,0.91984
2024-07-19,0.91984
2024-08-19,0.91984
2024-09-19,0.91984
2024-10-21,0.91984
2024-11-18,0.91984
2024-12-17,0.91984
2025-01-20,0.91984
2025-02-19,0.91984
2025-03-19,0.91984
2025-04-17,0.91984
2025-05-19,0.91984
2025-06-18,0.91984
2025-07-21,0.91984
2025-08-19,0.91984
2025-09-19,0.91984
2025-10-20,0.91984
2025-11-18,0.91984
2025-12-17,0.91984
2026-01-19,0.91984
2026-02-19,0.92
2026-03-19,0.92
