date,open,high,low,close,volume
2026-01-19,8.529,8.529,8.4609,8.4901,259091
2026-01-20,8.4901,8.5388,8.4901,8.4998,314996
2026-01-21,8.5096,8.5874,8.5096,8.5388,354976
2026-01-22,8.5582,8.6361,8.5193,8.5777,316481
2026-01-23,8.5777,8.6167,8.5096,8.5777,411772
2026-01-26,8.5777,8.6167,8.5582,8.5874,307382
2026-01-27,8.5874,8.6361,8.568,8.5874,341050
2026-01-28,8.6069,8.6069,8.4901,8.5485,354761
2026-01-29,8.6361,8.6361,8.568,8.5972,291295
2026-01-30,8.6361,8.6556,8.6069,8.6459,279569
2026-02-02,8.6656,8.6656,8.5274,8.5965,539203
2026-02-03,8.5866,8.636,8.5768,8.6261,214248
2026-02-04,8.636,8.6557,8.6163,8.6459,199140
2026-02-05,8.6755,8.6853,8.6163,8.6557,231538
2026-02-06,8.6557,8.7248,8.6557,8.7248,194219
2026-02-09,8.7248,8.7742,8.7051,8.7544,480589
2026-02-10,8.784,8.784,8.6261,8.6656,352117
2026-02-11,8.7248,8.7643,8.6755,8.715,256449
2026-02-12,8.7248,8.8827,8.7051,8.784,426371
2026-02-13,8.784,8.9123,8.784,8.9123,275830
2026-02-18,8.9222,8.9617,8.9025,8.9222,193956
2026-02-19,8.9222,8.9913,8.8926,8.942,346262
2026-02-20,8.9913,9.0604,8.9518,9.0209,220006
2026-02-23,9.0505,9.09,9.0012,9.0801,347304
2026-02-24,9.0801,9.2183,9.0407,9.0801,376263
2026-02-25,9.1295,9.1986,9.0801,9.1788,285102
2026-02-26,9.1788,9.2084,9.0308,9.0407,491706
2026-02-27,9.1295,9.1591,9.0407,9.09,583043
2026-03-02,9.21,9.21,9.1,9.16,323845
2026-03-03,9.17,9.2,9.07,9.09,397460
2026-03-04,9.1,9.1,9.05,9.08,375424
2026-03-05,9.08,9.1,8.97,8.99,342721
2026-03-06,9.0,9.14,8.97,9.1,356035
2026-03-09,9.15,9.17,8.96,9.06,492682
2026-03-10,9.08,9.12,9.0,9.04,294319
2026-03-11,9.04,9.05,8.97,9.0,347294
2026-03-12,9.0,9.01,8.83,8.99,356109
2026-03-13,9.02,9.03,8.89,8.92,362804
2026-03-16,8.94,8.98,8.92,8.98,266067
2026-03-17,9.01,9.01,8.97,8.97,191619
